away_team,home_team,favorite_team,underdog_team,spread_line,total_line
49ers,Rams,Rams,49ers,-5.5,43.5
Vikings,Browns,Vikings,Browns,-3.5,36
Texans,Ravens,Texans,Ravens,-2.5,40.5
Dolphins,Panthers,Dolphins,Panthers,-1.5,44
Raiders,Colts,Colts,Raiders,-6.5,48
Giants,Saints,Saints,Giants,-1.5,42
Cowboys,Jets,Cowboys,Jets,-2.5,47.5
Broncos,Eagles,Eagles,Broncos,-3.5,43.5
Titans,Cardinals,Cardinals,Titans,-8.5,42.5
Buccaneers,Seahawks,Seahawks,Buccaneers,-3.5,44.5
Lions,Bengals,Lions,Bengals,-10.5,49.5
Commanders,Chargers,Chargers,Commanders,-2.5,47
Patriots,Bills,Bills,Patriots,-8,49.5
Chiefs,Jaguars,Chiefs,Jaguars,-3.5,46.5
