team,epa_sum,plays,epa_allowed_sum,plays_faced,success_rate,success_rate_allowed,epa_off_per_play,epa_def_allowed_per_play,net_epa_per_play,team_name
ARI,4.1517,150,-9.2305,194,0.4541,0.4378,0.027678,-0.04757989690721649,0.07525789690721649,Cardinals
ATL,1.9699,173,-18.3475,139,0.474,0.4018,0.011386705202312138,-0.13199640287769784,0.14338310808000998,Falcons
BAL,31.9305,148,0.7243,198,0.5025,0.4627,0.21574662162162161,0.003658080808080808,0.2120885408135408,Ravens
BUF,37.5597,195,13.2856,135,0.4756,0.4926,0.19261384615384616,0.09841185185185186,0.0942019943019943,Bills
CAR,-8.828,176,10.1946,151,0.422,0.4697,-0.0501590909090909,0.06751390728476821,-0.11767299819385911,Panthers
CHI,-20.4871,176,18.655,151,0.3924,0.5087,-0.11640397727272728,0.1235430463576159,-0.23994702363034318,Bears
CIN,2.3099,151,-1.2989,177,0.4796,0.4528,0.015297350993377482,-0.007338418079096045,0.022635769072473527,Bengals
CLE,-28.8034,182,3.2477,145,0.4174,0.4414,-0.15826043956043956,0.02239793103448276,-0.18065837059492232,Browns
DAL,25.8941,190,29.5715,165,0.5024,0.5105,0.13628473684210526,0.17922121212121211,-0.04293647527910685,Cowboys
DEN,2.3873,167,-3.3297,164,0.4853,0.4267,0.014295209580838325,-0.020303048780487803,0.03459825836132613,Broncos
DET,18.9368,160,0.5555,146,0.5026,0.4535,0.11835500000000002,0.0038047945205479453,0.11455020547945208,Lions
GB,15.0333,145,-10.4603,169,0.497,0.4378,0.10367793103448276,-0.06189526627218935,0.1655731973066721,Packers
HOU,-9.2143,137,-5.0123,172,0.3973,0.4578,-0.06725766423357664,-0.02914127906976744,-0.0381163851638092,Texans
IND,34.8784,172,3.5645,131,0.5408,0.5144,0.2027813953488372,0.027209923664122136,0.17557147168471507,Colts
JAX,13.9711,169,-1.4056,160,0.4906,0.4538,0.08266923076923077,-0.008785,0.09145423076923077,Jaguars
KC,7.7099,153,19.4562,158,0.4576,0.5054,0.050391503267973856,0.12314050632911391,-0.07274900306114006,Chiefs
LA,10.1036,153,-11.3697,164,0.4628,0.4172,0.06603660130718954,-0.06932743902439024,0.13536404033157978,Rams
LAC,10.9302,150,-10.1581,161,0.5232,0.4108,0.07286799999999999,-0.06309378881987578,0.13596178881987575,Chargers
LV,-13.9922,162,-10.6688,161,0.408,0.4555,-0.0863716049382716,-0.06626583850931676,-0.02010576642895484,Raiders
MIA,-3.2359,134,35.8277,163,0.4718,0.5008,-0.024148507462686566,0.21980184049079754,-0.2439503479534841,Dolphins
MIN,-28.736,139,-8.9757,172,0.4152,0.4267,-0.2067338129496403,-0.0521843023255814,-0.15454951062405892,Vikings
NE,9.9579,169,12.1993,158,0.4442,0.4558,0.0589224852071006,0.07721075949367089,-0.01828827428657029,Patriots
NO,-15.5817,180,3.6758,168,0.4518,0.4578,-0.086565,0.021879761904761905,-0.1084447619047619,Saints
NYG,7.113,170,21.6893,200,0.4333,0.4898,0.041841176470588236,0.1084465,-0.06660532352941176,Giants
NYJ,1.7529,144,31.8169,165,0.486,0.487,0.012172916666666665,0.19282969696969698,-0.1806567803030303,Jets
PHI,15.5337,155,7.6139,148,0.4842,0.4865,0.1002174193548387,0.05144527027027027,0.04877214908456843,Eagles
PIT,0.0749,151,14.9268,162,0.4432,0.5006,0.0004960264900662251,0.09214074074074075,-0.09164471425067452,Steelers
SEA,-3.2071,149,-14.741,164,0.4868,0.4338,-0.021524161073825505,-0.08988414634146341,0.06835998526763791,Seahawks
SF,3.4177,176,-12.4475,152,0.4828,0.5024,0.01941875,-0.08189144736842105,0.10131019736842105,49ers
TB,6.2132,171,0.9953,152,0.4672,0.4494,0.03633450292397661,0.006548026315789474,0.029786476608187135,Buccaneers
TEN,-18.9905,165,5.6211,170,0.3953,0.4748,-0.1150939393939394,0.03306529411764706,-0.14815923351158647,Titans
WAS,0.0841,170,-5.3378,167,0.465,0.436,0.0004947058823529412,-0.031962874251497006,0.032457580133849945,Commanders
