game,underdog,favorite,spread,underdog_net_epa,favorite_net_epa,underdog_epa_off,favorite_epa_off,opponent_def_epa,defense_quality,net_epa_differential,cover_probability,confidence,is_home,actual_home_score,actual_away_score,actual_margin,actual_cover,actual_winner,actual_underdog_win,game_completed,notes
Chargers at Raiders,Raiders,Chargers,3.5,0.131,0.0,0.082,0.214,0.131,WEAK,-0.131,0.80275,HIGH,True,,,,,,,False,
Bills at Jets,Jets,Bills,6.5,-0.051,-0.136,0.158,0.204,0.34,WEAK,-0.085,0.7776500000000001,HIGH,True,,,,,,,False,
Eagles at Chiefs,Chiefs,Eagles,0.5,-0.083,0.0,0.131,0.171,0.139,WEAK,0.083,0.7492500000000001,HIGH,True,,,,,,,False,
Bears at Lions,Bears,Lions,5.5,-0.047,-0.239,-0.111,-0.054,0.0,AVERAGE,-0.192,0.5241,MEDIUM,False,,,,,,,False,
Browns at Ravens,Browns,Ravens,11.5,-0.022,-0.136,-0.088,0.204,0.0,AVERAGE,-0.114,0.5149,MEDIUM,False,,,,,,,False,
Buccaneers at Texans,Buccaneers,Texans,2.5,0.0,-0.046,0.076,-0.121,0.0,AVERAGE,-0.046,0.5069,MEDIUM,False,,,,,,,False,
Jaguars at Bengals,Jaguars,Bengals,3.5,0.0,0.0,0.09,-0.066,0.0,AVERAGE,0.0,0.5,MEDIUM,False,,,,,,,False,
Patriots at Dolphins,Patriots,Dolphins,1.5,0.0,0.0,-0.049,-0.075,0.0,AVERAGE,0.0,0.5,MEDIUM,False,,,,,,,False,
49ers at Saints,Saints,49ers,4.5,-0.107,0.0,-0.091,0.012,0.0,AVERAGE,0.107,0.49325,MEDIUM,True,,,,,,,False,
Falcons at Vikings,Falcons,Vikings,4.5,-0.065,0.0,0.011,-0.064,0.0,AVERAGE,0.065,0.48375,MEDIUM,False,,,,,,,False,
Seahawks at Steelers,Seahawks,Steelers,3.0,-0.094,0.0,-0.082,0.209,0.0,AVERAGE,0.094,0.4765,MEDIUM,False,,,,,,,False,
Giants at Cowboys,Giants,Cowboys,5.5,-0.185,-0.032,-0.113,0.139,0.0,AVERAGE,0.153,0.4585499999999999,MEDIUM,False,,,,,,,False,
Panthers at Cardinals,Panthers,Cardinals,6.5,-0.197,0.0,-0.107,0.016,0.0,AVERAGE,0.197,0.45075,MEDIUM,False,,,,,,,False,
Broncos at Colts,Colts,Broncos,2.5,0.41,0.131,0.251,0.082,-0.219,STRONG,-0.2789999999999999,0.35285,LOW,True,,,,,,,False,
Commanders at Packers,Commanders,Packers,3.5,0.0,0.0,0.072,0.185,-0.054,STRONG,0.0,0.25,LOW,False,,,,,,,False,
Rams at Titans,Titans,Rams,5.5,-0.109,0.0,-0.219,-0.075,-0.121,STRONG,0.109,0.24275,LOW,True,,,,,,,False,
